query,working_ips,broken_ips,working_types,broken_types,working_rcodes,broken_rcodes,note
e12923.a.akamaiedge.net,,,,,,,No difference detected
e6249.b.akamaiedge.net,,,,,,,No difference detected
e673.dsce9.akamaiedge.net,,,,,,,No difference detected
e86303.dscx.akamaiedge.net,,,,,,,No difference detected
e8652.dscx.akamaiedge.net,,,,,,,No difference detected
eastus-8.in.applicationinsights.azure.com,,,,,,,No difference detected
eastus-gas.guestconfiguration.azure.com,,,,,,,No difference detected
eastus-shared.prod.warm.ingest.monitor.core.windows.net,,,,,,,No difference detected
eastus2-gas.guestconfiguration.azure.com,,,,,,,No difference detected
easylist-downloads.adblockplus.org,,,,,,,No difference detected
ecs-office.s-0005.dual-s-msedge.net,,,,,,,No difference detected
ecs.office.com,,,,,,,No difference detected
edge-cloudmessaging-access-point-aks-prod-eastus.eastus.cloudapp.azure.com,,,,,,,No difference detected
edge-microsoft-com.ax-0002.ax-msedge.net,,,,,,,No difference detected
edge-mqtt-fallback.facebook.com,,,,,,,No difference detected
edge-mqtt.facebook.com,,,,,,,No difference detected
edge.gycpi.b.yahoodns.net,,,,,,,No difference detected
edge.microsoft.com,,,,,,,No difference detected
edr-eus.us.endpoint.security.microsoft.com,,,,,,,No difference detected
el-az-synw-adam-dev.dev.azuresynapse.net,,,,,,,No difference detected
elazdriverprod87ac.blob.core.windows.net,,,,,,,No difference detected
elwyn.org,,,,,,,No difference detected
elwyn365-my.sharepoint.com,,,,,,,No difference detected
elwyn365.sharepoint.com,,,,,,,No difference detected
elwyncertdeployment.file.core.windows.net,,,,,,,No difference detected
elwynprint.us.uniflowonline.com,,,,,,,No difference detected
embedded.creditkarma.com,,,,,,,No difference detected
encryption-r.wbx2.com,,,,,,,No difference detected
esm.ubuntu.com,,,,,,,No difference detected
eu.frontend.clouddatahub.net,,,,,,,No difference detected
eu0-portal-lb-6634a12d2ee4aa7e.elb.eu-west-1.amazonaws.com,,,,,,,No difference detected
eu2.frontend.clouddatahub.net,,,,,,,No difference detected
euc-excel-telemetry.officeapps.live.com,,,,,,,No difference detected
eus2-jobruntimedata-prod-arm-1.trafficmanager.net,,,,,,,No difference detected
events.engager.ecbsn.com,,,,,,,No difference detected
events.glanceapis.com,,,,,,,No difference detected
events.swishapps.ai,,,,,,,No difference detected
ewy8-390.webex.com,,,,,,,No difference detected
excel-telemetry.officeapps.live.com,,,,,,,No difference detected
excel-telemetry.wac.trafficmanager.net,,,,,,,No difference detected
exo.nel.measure.office.net,,,,,,,No difference detected
extension.femetrics.grammarly.io,,,,,,,No difference detected
extremecloudiq.com,,,,,,,No difference detected
f604414692f2df48333e8204fb7715c3.fp.measure.office.com,,,,,,,No difference detected
fb788ee3e13c37e386c4fc5c50068dbd4f2d37ac192335d0d1dfd07cb52635b.us-east-1.prod.service.minerva.devices.a2z.com,,,,,,,No difference detected
fd-api-iris.trafficmanager.net,,,,,,,No difference detected
fd.api.iris.microsoft.com,,,,,,,No difference detected
fe-pew1-ext-openapi-lb-547958838.eu-west-1.elb.amazonaws.com,,,,,,,No difference detected
fe3cr.delivery.mp.microsoft.com,,,,,,,No difference detected
feature-r.wbx2.com,,,,,,,No difference detected
ffa8df3d-73bb-452c-9d6b-e1a06abf04ce.rddiagnostics-g-us-r1.wvd.microsoft.com,,,,,,,No difference detected
files-api-r.wbx2.com,,,,,,,No difference detected
files-prod-us-west-2.webexcontent.com,,,,,,,No difference detected
files.ivaws.com,,,,,,,No difference detected
filtering-r.wbx2.com,,,,,,,No difference detected
firebaselogging.googleapis.com,,,,,,,No difference detected
firebaseremoteconfig.googleapis.com,,,,,,,No difference detected
firebaseremoteconfigrealtime.googleapis.com,,,,,,,No difference detected
fls-na.amazon.com,,,,,,,No difference detected
